价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
,,,,,,,,
2980,16,55700-A,3室1卫,5/6层,丰台区,公益西桥,富卓苑,地铁：距4号线大兴线公益西桥站550米
2360,13,57806-C,4室1卫,5/6层,丰台区,四环路,宜兰园二区,地铁：距房山线四环路站1450米
,,,,,,,,
1970,15,62361-C,3室1卫,18/26层,昌平区,昌平,新悦家园,地铁：距昌平线昌平站1200米
3470,15,75643-B,2室1卫,4/6层,海淀区,上地,小营西路23号院,地铁：距13号线上地站1200米
2360,9,1077-A,4室1卫,2/18层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
3520,19,11443-A,3室1卫,9/11层,朝阳区,四惠,通惠家园惠润园,"地铁：距1号线,八通线四惠站650米"
2980,16,130915-A,2室1卫,2/5层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
1770,15,132544-A,3室1卫,1/6层,大兴区,黄村火车站,观音寺南里,地铁：距4号线大兴线黄村火车站站1500米
2540,9,131017-B,2室1卫,3/6层,丰台区,丰台南路,富丰园小区,地铁：距9号线丰台南路站1100米
4420,79,134282-A,2室1卫,3/6层,通州区,梨园,云景西里南区,地铁：距八通线梨园站850米
6760,86,136721-A,2室1卫,3/6层,海淀区,育新,沁春家园,地铁：距8号线育新站1050米
2960,12,143273-A,2室1卫,2/16层,丰台区,方庄,芳星园三区,地铁：距14号线东段方庄站650米
,,,,,,,,
2240,11,141303-A,3室1卫,1/6层,朝阳区,孙河,康营小区B区,地铁：距15号线孙河站1500米
5480,52,147233-A,1室1卫,11/20层,丰台区,公益西桥,富卓苑,地铁：距4号线大兴线公益西桥站550米
3230,12,147499-B,3室1卫,2/24层,朝阳区,望京,世安家园,"地铁：距14号线东段,15号线望京站950米"
1740,11,149066-B,2室1卫,5/6层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
3510,64,153782-A,1室1卫,9/12层,通州区,果园,旗舰凯旋一期,地铁：距八通线果园站1700米
1840,10,157147-C,3室1卫,4/6层,通州区,九棵树,葛布店南里,地铁：距八通线九棵树站300米
2200,10,14229-A,4室1卫,8/12层,通州区,果园,葵花社,地铁：距八通线果园站200米
2700,16,15663-C,3室1卫,5/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
3760,10,20221-A,2室1卫,6/6层,朝阳区,亮马桥,新源街,地铁：距10号线亮马桥站850米
1800,14,23789-C,3室1卫,5/6层,昌平区,昌平,建明里,地铁：距昌平线昌平站850米
2300,11,2447-A,3室1卫,4/6层,朝阳区,孙河,康营小区,地铁：距15号线孙河站1000米
4880,23,2715-D,5室1卫,19/26层,朝阳区,望京东,宝星园,地铁：距15号线望京东站550米
1450,10,27449-C,3室1卫,6/9层,房山区,良乡大学城西,瑞雪春堂,地铁：距房山线良乡大学城西站900米
2210,17,28486-B,2室1卫,4/5层,大兴区,黄村火车站,林校北里,地铁：距4号线大兴线黄村火车站站750米
,,,,,,,,
1870,13,31875-C,3室1卫,2/6层,昌平区,沙河,民园小区,地铁：距昌平线沙河站1650米
1310,29,32001-C,4室2卫,5/5层,房山区,阎村,绿城百合公寓风荷苑,地铁：距燕房线阎村站850米
2780,12,33256-A,4室1卫,12/19层,昌平区,天通苑,天通苑西二区,地铁：距5号线天通苑站500米
2580,11,35867-A,2室1卫,1/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2270,10,36856-A,2室1卫,1/6层,通州区,梨园,梨园西里,地铁：距八通线梨园站200米
1500,8,37615-B,4室1卫,33/33层,通州区,通运门,京贸家园,地铁：距6号线通运门站2650米
3410,18,42086-A,2室1卫,15/18层,丰台区,刘家窑,南三环中路15号院,地铁：距5号线刘家窑站350米
,,,,,,,,
1840,14,35701-B,3室1卫,10/10层,通州区,通州北关,苏坨新村,地铁：距6号线通州北关站2800米
2620,8,45125-A,3室1卫,12/14层,海淀区,永丰南,永旺家园一区,地铁：距16号线永丰南站250米
3030,15,48547-A,2室1卫,2/5层,丰台区,纪家庙,郑王坟141号院,地铁：距10号线纪家庙站750米
,,,,,,,,
1660,10,51834-B,3室1卫,5/6层,昌平区,昌平,雅馨家园,地铁：距昌平线昌平站550米
2460,9,51867-B,3室1卫,1/5层,丰台区,大红门,苗圃东里,"地铁：距8号线南段,10号线大红门站250米"
3700,20,51802-A,4室1卫,20/24层,西城区,广安门内,牛街18,地铁：距7号线广安门内站650米
1600,7,54642-B,2室1卫,5/6层,昌平区,昌平,安福苑,地铁：距昌平线昌平站900米
,,,,,,,,
2880,11,57454-C,3室1卫,13/20层,朝阳区,立水桥南,北苑家园望春园,地铁：距5号线立水桥南站600米
2190,13,586-B,5室1卫,1/6层,昌平区,天通苑,天通苑北三区,地铁：距5号线天通苑站1700米
,,,,,,,,
