价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
2680,12,47161-D,4室1卫,1/6层,海淀区,育新,龙乡东区,地铁：距8号线育新站700米
,,,,,,,,
2400,11,48955-C,4室1卫,1/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2610,12,486-D,4室2卫,21/24层,朝阳区,高碑店,兴隆家园,地铁：距八通线高碑店站600米
2650,12,45355-D,4室1卫,1/20层,朝阳区,褡裢坡,福盈家园2号院,地铁：距6号线褡裢坡站550米
2130,12,52146-D,4室1卫,1/7层,通州区,通州北苑,旅游新村,地铁：距八通线通州北苑站400米
1620,7,55354-A,4室1卫,4/6层,大兴区,枣园,滨河西里,地铁：距4号线大兴线枣园站650米
2540,11,60721-A,3室1卫,3/6层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
3560,22,586-C,5室1卫,1/6层,昌平区,天通苑,天通苑北三区,地铁：距5号线天通苑站1700米
1530,11,62622-C,4室2卫,10/13层,房山区,良乡大学城,远洋新仕界,地铁：距房山线良乡大学城站400米
2260,10,6621-C,3室1卫,11/28层,丰台区,丽泽商务区,万泉盛景园,地铁：距10号线纪家庙站1400米
2380,13,69010-D,4室1卫,8/11层,通州区,九棵树,瑞都国际,地铁：距八通线九棵树站400米
1660,11,70134-D,4室1卫,3/6层,大兴区,黄村火车站,义和庄东里,地铁：距4号线大兴线黄村火车站站750米
3010,9,69888-B,2室1卫,8/20层,海淀区,农大南路,柳浪家园南里,地铁：距16号线农大南路站1600米
4480,44,66604-A,1室1卫,10/11层,昌平区,龙泽,龙兴园西区,地铁：距13号线龙泽站1950米
2000,11,72211-A,3室1卫,2/15层,通州区,高楼金,瑞都公园世家南区,地铁：距7号线高楼金站500米
2030,16,73498-B,4室1卫,2/6层,通州区,梨园,玉桥西里70号院,地铁：距八通线梨园站550米
3520,16,73252-A,3室1卫,20/29层,朝阳区,四惠东,通惠家园惠民园,"地铁：距1号线,八通线四惠东站350米"
,,,,,,,,
2760,11,72500-D,4室1卫,3/16层,丰台区,六里桥东,首科花园,地铁：距9号线六里桥东站900米
2980,13,115111-D,4室1卫,7/14层,丰台区,首经贸,万年花城四期,"地铁：距10号线,房山线首经贸站450米"
1850,11,117593-A,3室1卫,9/21层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
3210,17,121504-C,3室1卫,1/6层,海淀区,永泰庄,永泰东里,地铁：距8号线永泰庄站350米
,,,,,,,,
3150,15,122555-B,2室1卫,3/6层,东城区,广渠门外,广和南里二条,"地铁：距7号线,17号线广渠门外站900米"
3670,17,11254-D,4室1卫,9/20层,海淀区,清河,安宁佳园,"地铁：距13号线,昌平线西二旗站1850米"
2810,8,128188-A,2室1卫,1/6层,东城区,景泰,蒲安西里,地铁：距14号线东段景泰站450米
,,,,,,,,
3570,15,11461-B,5室1卫,7/12层,朝阳区,肖村,中海城香克林,地铁：距亦庄线肖村站550米
3650,22,138048-D,4室1卫,5/6层,海淀区,永泰庄,宝盛里观林园,地铁：距8号线永泰庄站1550米
2450,17,141547-B,2室1卫,5/6层,昌平区,昌平,燕平家园,地铁：距昌平线昌平站650米
3080,18,143295-A,2室1卫,4/6层,石景山区,八宝山,永乐西区,地铁：距1号线八宝山站1000米
4430,60,13271-A,2室1卫,6/6层,通州区,梨园,梨园北小区,地铁：距八通线梨园站500米
2630,14,152946-B,2室1卫,2/16层,大兴区,枣园,那尔水晶城,地铁：距4号线大兴线枣园站650米
3110,13,154826-B,3室1卫,2/6层,丰台区,蒲黄榆,蒲安东里,"地铁：距5号线,14号线东段蒲黄榆站200米"
2490,6,17606-D,4室1卫,5/19层,海淀区,西二旗,回龙观新村西区,"地铁：距13号线,昌平线西二旗站1050米"
3270,10,18539-C,3室1卫,10/28层,海淀区,六道口,双清路2号院,地铁：距15号线六道口站1800米
3140,16,19169-B,3室1卫,14/19层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
2240,9,19856-A,3室1卫,18/18层,丰台区,石榴庄,石榴园北里,地铁：距10号线石榴庄站250米
2020,10,20555-C,4室1卫,4/6层,丰台区,新宫,同兴园,"地铁：距4号线大兴线,19号线新宫站1600米"
3000,26,21135-B,3室1卫,5/5层,朝阳区,黄渠,常营民族家园B区,地铁：距6号线黄渠站800米
1960,12,24777-B,3室1卫,4/5层,通州区,次渠南,敬园小区,地铁：距亦庄线次渠南站850米
2480,10,26309-A,3室1卫,9/15层,大兴区,万源街,鹿鸣苑,地铁：距亦庄线万源街站550米
2760,8,2178-A,3室1卫,3/6层,朝阳区,东湖渠,利泽西园,地铁：距14号线东段东湖渠站200米
3340,21,2761-C,5室1卫,6/6层,昌平区,天通苑南,天通苑六区,地铁：距5号线天通苑南站1050米
1630,7,26339-A,4室1卫,20/20层,门头沟区,小园,保利首开四季怡园,地铁：距S1线小园站950米
,,,,,,,,
2990,8,33030-A,2室1卫,9/24层,朝阳区,芍药居,芍药居北里,"地铁：距10号线,13号线芍药居站1050米"
2280,10,34254-A,3室1卫,5/18层,丰台区,和义,大红门锦苑A区,地铁：距8号线南段和义站1400米
2450,11,35348-B,4室1卫,8/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
2430,10,35350-B,3室1卫,1/15层,海淀区,永丰,友谊嘉园三期,地铁：距16号线永丰站2150米
3390,11,39984-A,2室1卫,6/6层,朝阳区,奥体中心,安翔南里,地铁：距8号线奥体中心站1050米
2200,11,46844-C,3室1卫,2/4层,昌平区,朱辛庄,豆各庄新村,"地铁：距昌平线,8号线朱辛庄站1350米"
2320,14,47370-D,4室1卫,1/5层,昌平区,龙泽,二拨子新村东区,地铁：距13号线龙泽站1750米
1670,10,48706-A,3室1卫,3/6层,通州区,通州北关,王家场,地铁：距6号线通州北关站2000米
1960,15,49158-C,4室1卫,5/6层,通州区,物资学院路,永顺西里,地铁：距6号线物资学院路站1150米
2270,10,49614-C,4室1卫,2/6层,顺义区,国展,莲竹花园,地铁：距15号线国展站350米
1240,13,49210-B,5室1卫,5/6层,房山区,良乡大学城西,伟业嘉园西里,地铁：距房山线良乡大学城西站1050米
2950,8,50221-C,3室1卫,4/6层,海淀区,马连洼,东馨园,地铁：距13号线上地站2800米
2210,10,47612-C,4室1卫,2/4层,昌平区,龙泽,二拨子新村东区,地铁：距13号线龙泽站1750米
2530,12,51644-C,3室1卫,8/12层,朝阳区,黄渠,汇鸿家园,地铁：距6号线黄渠站900米
3590,16,61477-C,3室1卫,1/6层,朝阳区,望京,南湖东园一区,"地铁：距14号线东段,15号线望京站550米"
1690,11,69190-A,5室2卫,17/17层,昌平区,沙河高教园,北街家园七区,地铁：距昌平线沙河高教园站1850米
1690,10,73269-A,3室1卫,3/6层,通州区,通州北关,东潞苑,地铁：距6号线通州北关站2350米
3210,14,70536-A,4室1卫,17/18层,西城区,陶然亭,里仁街3号院,地铁：距4号线大兴线陶然亭站300米
2390,13,72429-B,4室1卫,4/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
5550,38,70285-A,1室1卫,4/6层,海淀区,万寿路,万寿路西街11号院,地铁：距1号线万寿路站800米
2040,7,74728-A,2室1卫,3/6层,丰台区,大红门南,大红门东后街143号,地铁：距8号线南段大红门南站450米
,,,,,,,,
,,,,,,,,
,,,,,,,,
3530,12,78754-B,3室1卫,5/14层,东城区,东直门,清水苑,"地铁：距机场线,2号线,13号线东直门站550米"
2640,12,9205-D,4室1卫,16/23层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2390,10,9471-B,3室1卫,5/6层,朝阳区,潘家园,武圣西里,地铁：距10号线潘家园站450米
2490,11,9760-B,4室1卫,18/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2540,12,9760-D,4室1卫,18/22层,朝阳区,褡裢坡,定福家园北里,地铁：距6号线褡裢坡站200米
2430,10,116935-C,6室2卫,5/6层,通州区,物资学院路,天赐良园东三期,地铁：距6号线物资学院路站250米
2170,13,120288-A,3室1卫,1/6层,丰台区,和义,久敬佳园一区,地铁：距8号线南段和义站950米
2610,10,121384-C,3室1卫,9/12层,朝阳区,成寿寺,建都家园,地铁：距10号线成寿寺站800米
3680,9,136040-B,2室1卫,4/5层,朝阳区,金台路,金台里,"地铁：距6号线,14号线东段金台路站550米"
3460,22,138500-C,3室1卫,4/6层,昌平区,天通苑,天通苑北二区,地铁：距5号线天通苑站1000米
3120,8,143544-A,2室1卫,4/6层,朝阳区,平乐园,平乐园,地铁：距14号线东段平乐园站450米
,,,,,,,,
2960,10,145609-A,3室1卫,9/28层,海淀区,西二旗,回龙观新村中区,"地铁：距13号线,昌平线西二旗站1100米"
2750,11,12663-B,2室1卫,2/6层,丰台区,角门东,海户西里,地铁：距10号线角门东站750米
1510,10,138941-C,3室1卫,10/22层,房山区,广阳城,城建广悦居,地铁：距房山线广阳城站750米
2400,8,148987-D,4室2卫,4/6层,海淀区,育新,建材城西路85号院,地铁：距8号线育新站1250米
