,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
0,1330,9,38738-A,3室1卫,9/11层,房山区,良乡大学城西,紫汇家园,距房山线良乡大学城西站550米,9,11,1,550
1,5810,39,64752-A,1室1卫,9/12层,东城区,广渠门内,绿景苑,距7号线广渠门内站650米,9,12,1,650
2,4820,36,65359-A,1室1卫,1/6层,东城区,景泰,定安里,距14号线东段景泰站450米,1,6,1,450
3,1850,9,185-B,4室2卫,2/27层,朝阳区,管庄,京通苑阳光华苑,距八通线管庄站500米,2,27,1,500
4,9000,116,17830-A,2室1卫,8/16层,朝阳区,十里堡,天天朝阳,距6号线十里堡站850米,8,16,1,850
5,1720,9,30651-B,4室1卫,10/28层,通州区,土桥,华远铭悦,距八通线土桥站950米,10,28,1,950
6,1790,10,81486-C,5室2卫,1/6层,朝阳区,八里桥,西马庄园,距八通线八里桥站1150米,1,6,1,1150
7,5140,49,23104-A,1室1卫,2/18层,丰台区,海户屯,西罗园南里,距8号线南段海户屯站650米,2,18,1,650
8,2260,13,9832-B,3室1卫,8/16层,朝阳区,管庄,众亿嘉园,距八通线管庄站800米,8,16,1,800
9,4400,56,16256-A,1室1卫,8/22层,通州区,物资学院路,悦澜水岸家园,距6号线物资学院路站2350米,8,22,1,2350
10,2700,9,73992-B,2室1卫,11/12层,丰台区,刘家窑,南三环东路,距5号线刘家窑站150米,11,12,1,150
11,2320,9,2331-A,3室1卫,3/26层,朝阳区,高碑店,金隅汇星苑,距6号线青年路站1450米,3,26,1,1450
12,2700,10,8123-D,4室1卫,4/13层,朝阳区,青年路,青年汇佳园,距6号线青年路站250米,4,13,1,250
13,2590,10,22010-C,4室2卫,22/26层,朝阳区,四惠东,都市经典家园,"距1号线,八通线四惠东站700米",22,26,2,700
14,1470,11,23724-A,3室1卫,2/6层,通州区,通州北关,刘庄新村,距6号线通州北关站2700米,2,6,1,2700
15,1860,9,25745-C,3室1卫,16/22层,朝阳区,东坝中街,北京城建福润四季,距3号线东坝中街站2800米,16,22,1,2800
16,3440,18,124815-E,6室2卫,9/9层,朝阳区,朝阳门,大方家胡同,"距2号线,6号线朝阳门站650米",9,9,2,650
17,1790,10,19708-A,5室1卫,20/20层,通州区,九棵树,龙湖蔚澜香醍,距八通线果园站1050米,20,20,1,1050
18,7360,88,29612-A,2室1卫,4/28层,朝阳区,潘家园,潘家园南里,距10号线潘家园站950米,4,28,1,950
19,1450,12,146745-C,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,距房山线良乡大学城西站350米,5,6,1,350
20,1740,11,33621-A,3室1卫,6/6层,顺义区,石门,前进花园石门苑,距15号线石门站800米,6,6,1,800
21,2460,11,68894-B,3室1卫,21/29层,朝阳区,青年路,金隅泰和园,距6号线青年路站1250米,21,29,1,1250
22,5170,47,64760-A,1室1卫,4/24层,丰台区,木樨园,珠江骏景北区,距8号线南段木樨园站550米,4,24,1,550
23,1910,10,59863-A,4室1卫,8/15层,朝阳区,管庄,远洋一方润园6号院,距八通线管庄站700米,8,15,1,700
24,4400,44,79816-A,1室1卫,26/28层,通州区,通州北关,财富东方,距6号线通州北关站800米,26,28,1,800
25,1950,13,69100-B,5室2卫,22/24层,朝阳区,八里桥,长桥园公寓,距八通线八里桥站650米,22,24,1,650
26,5480,46,11023-A,1室1卫,5/6层,朝阳区,平乐园,平乐园,距14号线东段平乐园站450米,5,6,1,450
